Validation_Set,Topics,Alpha,Beta,Coherence,Passes,coherence_cv,coherence_umass
100% Corpus,8.0,0.05,symmetric,,40.0,0.48607926121491135,-0.49685766468931136
100% Corpus,9.0,0.05,symmetric,,10.0,0.46571739808580237,-0.626144844798151
100% Corpus,9.0,0.05,symmetric,,20.0,0.47745613244297047,-0.6527676293952367
100% Corpus,9.0,0.05,symmetric,,30.0,0.47745613244297047,-0.6477148532330562
100% Corpus,9.0,0.05,symmetric,,40.0,0.47745613244297047,-0.6457024728665918
100% Corpus,10.0,0.05,symmetric,,10.0,0.35862012223798356,-0.6531503847198178
100% Corpus,10.0,0.05,symmetric,,20.0,0.3577802197703487,-0.6707571031675131
100% Corpus,10.0,0.05,symmetric,,30.0,0.3583284620433814,-0.6633205621076234
100% Corpus,10.0,0.05,symmetric,,40.0,0.3583284620433814,-0.6584597751642032
100% Corpus,11.0,0.05,symmetric,,10.0,0.47213568978957277,-0.6711752245467592
100% Corpus,11.0,0.05,symmetric,,20.0,0.46564239224800913,-0.6301091265197809
100% Corpus,11.0,0.05,symmetric,,30.0,0.46564239224800913,-0.6247973701343182
100% Corpus,11.0,0.05,symmetric,,40.0,0.46584067562051906,-0.6572180200877159
100% Corpus,12.0,0.05,symmetric,,10.0,0.3539805436987266,-0.5245563877528764
100% Corpus,12.0,0.05,symmetric,,20.0,0.35503352456705484,-0.53670245558558
100% Corpus,12.0,0.05,symmetric,,30.0,0.36092602616186936,-0.536951674552258
100% Corpus,12.0,0.05,symmetric,,40.0,0.36401009160468306,-0.5387623891686124
100% Corpus,13.0,0.05,symmetric,,10.0,0.469492874936533,-0.648325296125367
100% Corpus,13.0,0.05,symmetric,,20.0,0.47771141757113217,-0.6513968314655234
100% Corpus,13.0,0.05,symmetric,,30.0,0.4890372289353934,-0.6837782427789555
100% Corpus,13.0,0.05,symmetric,,40.0,0.4905718219082138,-0.6781703127231595
100% Corpus,14.0,0.05,symmetric,,10.0,0.439288042567992,-0.6161157885293952
100% Corpus,14.0,0.05,symmetric,,20.0,0.4432756823623319,-0.5925978799406979
100% Corpus,14.0,0.05,symmetric,,30.0,0.4481936206663841,-0.5825161971211277
100% Corpus,14.0,0.05,symmetric,,40.0,0.4543915514716254,-0.579128946943525
100% Corpus,15.0,0.05,symmetric,,10.0,0.38581647213951503,-0.4778728153971451
100% Corpus,15.0,0.05,symmetric,,20.0,0.3925305885777728,-0.4989922878943479
100% Corpus,15.0,0.05,symmetric,,30.0,0.3930957200115674,-0.5106173663339415
100% Corpus,15.0,0.05,symmetric,,40.0,0.39369808518532845,-0.5102943298878945
