word,proportion in topic 0,proportion in topic 1,proportion in topic 2,proportion in topic 3,proportion in topic 4,p(topic0|word),p(topic1|word),p(topic2|word),p(topic3|word),p(topic4|word)
supposedly,0,0,0,0,2.3515446e-05,0,0,0,0,1.0
allergen,2.066468e-05,0,0,0,0,1.0,0,0,0,0
thepolicy,0,0,0,0,2.3514032e-05,0,0,0,0,1.0
cvcbt,0,0,0,2.5413678e-05,0,0,0,0,1.0,0
unstructured,0,0,0,0,2.3495024e-05,0,0,0,0,1.0
sps,5.347991e-05,0,0,0,0,1.0,0,0,0,0
spiekermann,0,0,0,2.557114e-05,0,0,0,0,1.0,0
negligible,2.0775198e-05,0,0,0,6.114276e-05,0.2536098135858002,0,0,0,0.7463901864141999
river,2.5539553e-05,0.00049053883,1.04195215e-05,0.00021707173,2.2413806e-05,0.03334217402657377,0.6404039600164714,0.013602802346232146,0.28338958839902995,0.0292614752116927
rfmo,0,0,0.00062751793,0,0,0,0,1.0,0,0
exchange,2.1883838e-05,0,0.0004856851,0,6.113541e-05,0.03848016579307493,0,0.8540203722632012,0,0.10749946194372394
scitepress,0,0,0,2.5581532e-05,0,0,0,0,1.0,0
unchallenged,0,0,0,0,2.351531e-05,0,0,0,0,1.0
soundcloud,0,0,1.0003933e-05,0,0,0,0,1.0,0,0
ec_tio,0,0,0,0,2.3513672e-05,0,0,0,0,1.0
olsena,0,0,2.7648523e-05,0,0,0,0,1.0,0,0
promoter,0,0,0,2.5412151e-05,0,0,0,0,1.0,0
generalist,0,0,0,2.5581558e-05,0,0,0,0,1.0,0
pgis,2.02845e-05,0,0,0,0,1.0,0,0,0,0
fazones,2.01603e-05,0,0,0,0,1.0,0,0,0,0
north,0,0,0,0.00010862352,2.3513448e-05,0,0,0,0.8220524609733232,0.17794753902667684
ressource,0,0,0,0,6.1258965e-05,0,0,0,0,1.0
element,0.0027461774,0.0002882125,0.0007223266,0.0003449664,0.0021036817,0.44254892161493126,0.046445699820670434,0.11640356825114043,0.055591640465729425,0.33901016984752846
bousquet,0,0,0,0,9.9891135e-05,0,0,0,0,1.0
allow,0.0012153181,0.00027266913,0.00078753283,0.000804824,0.00047322456,0.34199933418339284,0.07673107240044709,0.22161745409210218,0.22648331419159728,0.13316882513246062
bhattacharya,0,0,0,0,2.3515579e-05,0,0,0,0,1.0
global,0.0002773037,0.001018599,0.0011018805,0.0005131372,0.0006690445,0.07745989715011928,0.2845276577185575,0.30779085395353845,0.1433358196215348,0.18688577155625
outright,2.066468e-05,0,0,0,0,1.0,0,0,0,0
standardise,0.0001752198,0,1.6942662e-05,0,0,0.9118315726755664,0,0.08816842732443368,0,0
supplement,0,0,0.00015412182,7.548611e-05,0.00012341769,0,0,0.43657404186096666,0.2138261521065192,0.3495998060325141
heading,0,0,1.054864e-05,0,0,0,0,1.0,0,0
medium,0.0005403953,0.00028067603,0.00036953873,0.00083475024,0.0008085039,0.19069203197635168,0.09904357088123093,0.1304010000612812,0.2945625411256367,0.28530085595549953
competitively,0,0,0,2.5581483e-05,0,0,0,0,1.0,0
vuller,1.668551e-05,0,8.261735e-05,0,0,0.16802647932702042,0,0.8319735206729796,0,0
oak,2.065867e-05,0,0,0,0,1.0,0,0,0,0
population,0.00019120064,0,0.0002147567,0.00031584685,0.0016769613,0.07970793349822262,0,0.08952800898752022,0.13167058061872736,0.6990934768955298
str,0,0,0,0,2.3513672e-05,0,0,0,0,1.0
microscopy,0,0,1.054869e-05,0,0,0,0,1.0,0,0
package,0.00019562864,0,0.00027177605,0,0,0.4185423162269411,0,0.581457683773059,0,0
regenerate,2.066468e-05,0,0,0,0,1.0,0,0,0,0
confide,6.149805e-06,0,0.00016003316,0,2.2613203e-05,0.03257378032912063,0,0.8476504659217221,0,0.11977575374915729
consent,2.0160358e-05,0,0,0,0,1.0,0,0,0,0
swordfish,0,0,6.274775e-05,0,0,0,0,1.0,0,0
time,0.0015332608,0.0018327589,0.0018002237,0.0019423635,0.0023967382,0.16130511817398033,0.19281350518623988,0.18939067603089527,0.204344339638124,0.25214636097076054
derrick,0,0,2.7665743e-05,0,0,0,0,1.0,0,0
difficulty,0.00013828771,0.0006054536,0.00012481153,0,0,0.15921622675868838,0.6970832163749999,0.1437005568663117,0,0
text_corpus,0,0,0,0.0004048685,0,0,0,0,1.0,0
jtree,5.3887587e-05,0,0,0,0,1.0,0,0,0,0
pfirman,0,0,0,0,2.3495091e-05,0,0,0,0,1.0
pre,0.00025318886,0,0.00022792681,0.000152682,0.00032417398,0.2642968216795321,0,0.23792646690457778,0.15938049842848334,0.33839621298740674
enter,0.0002189053,0.000106345426,0.00073604856,0.00044370006,6.4682e-05,0.13945843519153805,0.06774969047494402,0.4689159118939435,0.2826688746557924,0.041207087783782057
controversial,0.00022797397,0,0,0,1.994689e-05,0.9195433158002841,0,0,0,0.08045668419971586
huge,5.3239008e-05,0,0,0,2.2764081e-05,0.7004847888406663,0,0,0,0.29951521115933366
meal,0.00012180057,0,0,0,0,1.0,0,0,0,0
profiteer,0,0,1.0548157e-05,0,0,0,0,1.0,0,0
normal,2.109411e-05,0,5.357603e-05,4.508216e-05,0.00013977017,0.0812804784008701,0,0.20644081246260532,0.17371197334162972,0.5385667357948949
eec,2.6860604e-05,0,0.0002359552,2.5203886e-05,0,0.09325960824931082,0,0.8192328810380162,0.087507510712673,0
associate,0.00040332368,0.0009484568,0.001202006,0.0007631327,0.0002468489,0.1131733781602863,0.2661387565583837,0.3372851349945374,0.2141364640334425,0.06926626625335014
resilient,0,0,0,2.5413483e-05,2.3513672e-05,0,0,0,0.519414686332673,0.4805853136673271
